feature,psi,missing_ref,missing_cmp,mean_ref,mean_cmp,ks_stat,ks_p,severity
HCO3_hours_since,4.807616643424103,0.16728333333333334,0.9797,7.719872705802294,28.788177339901477,0.4002465929878422,2.047745126436388e-172,material
HCO3_locf,4.6643844394965965,0.16728333333333334,0.9797,24.36199787843004,22.61219209207494,0.2931679294894971,4.907371488174468e-91,material
HCO3_n_obs,4.577745680946614,0.0,0.0,2.3019333333333334,0.07115,0.8124166666666667,0.0,material
anion_gap,4.535142113921765,0.16916666666666666,0.9805166666666667,10.038314944834504,8.8321642553429,0.15218317055529285,1.4746130121667167e-23,material
HCO3_dev,4.481541785911463,0.16728333333333334,0.9797,5.901769546960465,6.634099025936852,0.0721641732451801,7.882057539453789e-06,material
HCO3_obs_rate,4.39067106466855,0.0,0.0,0.09959552334584296,0.0023975932461520037,0.8136666666666668,0.0,material
Chloride_hours_since,3.219251339460169,0.16755,0.9188833333333334,7.613310108715238,19.547976166016028,0.2850641815932039,1.92646e-319,material
Chloride_dev,3.1072269398769823,0.16755,0.9188833333333334,23.898003770848625,22.132284252258152,0.08140428319809012,5.173857813692014e-26,material
Chloride_n_obs,3.097628861276564,0.0,0.0,2.3800666666666666,0.23713333333333333,0.7513333333333334,0.0,material
Chloride_locf,3.0463203969885093,0.16755,0.9188833333333334,105.60098704626904,106.06544072323814,0.07310020246692642,4.694879914402041e-21,material
Chloride_obs_rate,3.0354358808314332,0.0,0.0,0.1024068167284752,0.00961803002396288,0.75675,0.0,material
BaseExcess_locf,2.5799567934972627,0.40305,0.9716,-0.05209118574978362,-3.2737969442690447,0.4529842525010745,2.0247429963842166e-305,material
BaseExcess_hours_since,2.5073449564458814,0.40305,0.9716,8.556607197699417,36.33978873239437,0.40140191316815094,3.714470525092412e-237,material
BaseExcess_dev,2.4645426741725434,0.40305,0.9716,0.31244243708241737,-0.7848135033468615,0.37881187507545205,2.5551708211702454e-210,material
BaseExcess_n_obs,2.3271484351166443,0.0,0.0,3.3834,0.09195,0.56855,0.0,material
BaseExcess_obs_rate,2.1853172300031014,0.0,0.0,0.1463804789420062,0.0031079457490549734,0.5693166666666667,0.0,material
DBP_obs_rate,1.3500202841485305,0.0,0.0,0.5079519735339564,0.8048893759709628,0.36365,0.0,material
DBP_hours_since,1.2584208305180755,0.3789,0.030366666666666667,2.0438201041163526,0.2082574168929836,0.10478290211186414,1.2789165617711473e-217,material
DBP_locf,1.1928591413011136,0.3789,0.030366666666666667,60.72533274298288,66.4158938085067,0.17951454665202582,0.0,material
