feature,coefficient,std_err,z,p_value,odds_ratio_per_sd,or_ci_low,or_ci_high,q_value,pseudo_r2
O2Sat_n_obs,0.5823189804212018,0.04080701598179539,14.270070143844451,3.3624025081962248e-46,1.790185024979662,1.6525816454924014,1.9392460471788344,2.68992200655698e-44,0.13782816009079568
unit_sicu,-0.4037626871308875,0.032736674889125995,-12.333649904835132,5.968087401304156e-35,0.6678025806123704,0.6263002496204316,0.7120550996791316,2.3872349605216624e-33,0.13782816009079568
SBP_obs_rate,-0.26560335905732013,0.022132725272988974,-12.000481449135659,3.532356320332166e-33,0.7667431889366788,0.7341934689142603,0.8007359676601022,9.419616854219109e-32,0.13782816009079568
FiO2_obs_rate,0.27848196775215195,0.03062009126839546,9.094746495402749,9.48073820063398e-20,1.321122782367748,1.2441688189520328,1.4028364796677888,1.896147640126796e-18,0.13782816009079568
hosp_adm_time,-0.08542507757254274,0.013016259639600803,-6.562951257721119,5.2753095599964104e-11,0.9181219284009217,0.8949955993206097,0.9418458325946051,8.440495295994256e-10,0.13782816009079568
hours_since_any_lab,-0.22275679701336884,0.03569335100210008,-6.240848526669926,4.3520353607684956e-10,0.8003094632799426,0.7462351757494253,0.8583021248927275,5.802713814357994e-09,0.13782816009079568
FiO2_n_obs,-0.1904698461623643,0.03591076633381788,-5.303976094294458,1.1330715751029972e-07,0.826570681631407,0.7703936547531387,0.8868441315907987,1.2314915948322033e-06,0.13782816009079568
Resp_min6,0.15118558822856557,0.02858621353963688,5.288758793428016,1.2314915948322034e-07,1.163212516601202,1.0998322181724922,1.2302452468850058,1.2314915948322033e-06,0.13782816009079568
FiO2_dev,0.07734649841354176,0.015968475320393152,4.843699655831478,1.274435331013686e-06,1.080416374101665,1.047125574249495,1.1147655736167328,1.0965411748765957e-05,0.13782816009079568
sirs_temp,0.10989026943317319,0.022755274732871675,4.8292218276067915,1.3706764685957446e-06,1.1161555873536566,1.0674693465134075,1.1670623603852017,1.0965411748765957e-05,0.13782816009079568
modified_shock_index,0.14810806137394628,0.032239125786510704,4.594047070467299,4.347312505077239e-06,1.1596382016898743,1.0886305562566378,1.235277432816709,3.1616818218743556e-05,0.13782816009079568
Lactate_n_obs,0.11191662150269284,0.025436107426209952,4.399911496967943,1.0829503643809738e-05,1.118419604611334,1.0640291285914316,1.1755903841043074,7.219669095873158e-05,0.13782816009079568
sofa_renal,0.1186277229415407,0.030961125814700563,3.831505470812544,0.00012736154187155483,1.1259506746506716,1.0596567462868753,1.196392063928867,0.0007837633345941837,0.13782816009079568
Temp_max6,0.11921804685609698,0.03292847977105113,3.6205147545531937,0.00029401748283314574,1.1266155464860927,1.0562019551848398,1.2017233857155958,0.00168009990190369,0.13782816009079568
SBP_std6,0.08024932333803682,0.02230860359086402,3.5972365106214492,0.00032161602373776175,1.0835571900952359,1.0372005072657997,1.1319857404448816,0.0017152854599347294,0.13782816009079568
Calcium_dev,-0.0949667324842094,0.027109918813487996,-3.503025336872666,0.0004600057051779815,0.909403187549908,0.8623438439314977,0.9590306272211634,0.0023000285258899075,0.13782816009079568
Fibrinogen_hours_since,0.03536771074546211,0.011088523821870077,3.1895779198044196,0.001424807228860001,1.0360005873170315,1.0137279785128586,1.0587625474200324,0.0067049751946352985,0.13782816009079568
sofa_partial,0.09904589705239297,0.03141497998520263,3.1528238152323023,0.001616993685768809,1.1041169741105754,1.0381846589385857,1.1742364732738821,0.007186638603416929,0.13782816009079568
Fibrinogen_dev,0.0583961973103203,0.019089661204122036,3.0590483867629246,0.002220412839393874,1.060134935125234,1.0212028006325633,1.100551310647421,0.009349106692184733,0.13782816009079568
PTT_hours_since,0.04214338985021172,0.014572620346391547,2.891956892340725,0.003828504730090953,1.043044029955664,1.0136742274153663,1.0732647817239556,0.015314018920363812,0.13782816009079568
Bilirubin_direct_dev,-0.07263545382670247,0.026316054945772136,-2.7601194014975974,0.005778023940706991,0.9299397742277251,0.8831908410194741,0.9791632153844357,0.02201151977412187,0.13782816009079568
MAP_dev,0.07491293812880381,0.027703587625244202,2.7040879738096186,0.0068492153034047905,1.077790312358461,1.0208288589673882,1.1379301703801643,0.02490623746692651,0.13782816009079568
Lactate_hours_since,-0.03542562690627502,0.013366656026592484,-2.6502983869560945,0.008042070979261151,0.9651945160628549,0.9402365454192316,0.9908149798861813,0.027972420797430092,0.13782816009079568
Temp_slope6,0.04905585057320709,0.019470749746466114,2.5194638733472803,0.011753370080595009,1.0502790077866104,1.0109534367171922,1.0911343234355193,0.03917790026865003,0.13782816009079568
Glucose_n_obs,0.07191509380137863,0.028959526685300656,2.4832965877816457,0.013017265551427218,1.0745641030372401,1.015270890917322,1.1373201200449465,0.04087655722191637,0.13782816009079568
Lactate_obs_rate,0.06256217349774873,0.02526703182338278,2.4760396842438785,0.013284881097122819,1.0645606443191722,1.0131250887699026,1.1186075421439294,0.04087655722191637,0.13782816009079568
