number,value,state,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,duration
0,0.38503180811358123,COMPLETE,0.728792282282364,0.78566381223206,0.0003589292330513243,0.0139729067186598,6,9,10.263855481328806,1.5885114859344862,16.95697622655974,0.7033039353063821,0 days 00:00:29.643260
1,0.42354766370130886,COMPLETE,0.5191203490471319,0.565869637002012,0.0003450743463861403,0.041492392942547925,4,5,14.945293395341018,0.10580834990982495,3.429543442286527,0.5945878112853683,0 days 00:00:15.909374
2,0.40994148985470136,COMPLETE,0.7305291721727856,0.3090016394402353,0.0009660957317093415,0.1442369479833877,1,7,1.1952935658249606,9.477160441910332,0.02944103590510642,0.8393520276414032,0 days 00:00:14.496968
3,0.41416314362233225,COMPLETE,0.704548527833337,0.8938840686315884,0.003945035839912345,0.017388437695052186,2,3,1.820746560411164,4.838341864888024,0.49824698122932365,0.9302787191322399,0 days 00:00:17.784305
4,0.4401007101116214,COMPLETE,0.8230755807232839,0.5024089598410967,0.00023933152935027554,0.07644981915850291,2,3,19.7752214539673,0.01213222974151366,0.016638895862822425,0.5833824244395232,0 days 00:00:21.967472
5,0.43941838405066497,COMPLETE,0.958804426415907,0.8062275093341749,1.1128618120802818,0.07655088352682304,6,4,6.366048145568862,0.9538847575196872,4.019518719110869,0.6454245834316323,0 days 00:00:18.247857
6,0.41034701484734576,COMPLETE,0.759680766583408,0.6216570668927975,1.5877569023937554,0.17619307194485315,3,5,1.5824365996411858,0.0033502133897768687,0.20660670387549954,0.9961969831706945,0 days 00:00:11.988638
7,0.4192729279823358,COMPLETE,0.8423318322704956,0.9954710000569922,0.023399433245904676,0.19451463948952738,6,4,81.11924512675427,0.5495138914004233,5.817436007775212,0.9104652244926648,0 days 00:00:13.087774
8,0.4089904611993189,PRUNED,0.8038150917582656,0.969228846778263,0.1467756240202153,0.06541208011249595,1,7,5.866036255734224,0.06481426508432388,4.080989800809041,0.9654286895982425,0 days 00:00:14.167956
9,0.3558141813283169,PRUNED,0.6838498494053875,0.5489915732346621,0.02365613735418289,0.1666953813179497,2,9,2.8869166877829278,0.008152186898083096,6.413128207267398,0.6816808932861261,0 days 00:00:10.749088
10,0.43307679360618395,COMPLETE,0.6744414598666837,0.45697685469274063,0.005706020645031031,0.1874647728872229,2,3,177.47686861287247,0.03428022568358768,0.01860130372591314,0.5655952032128706,0 days 00:00:14.375386
11,0.42594141908245997,COMPLETE,0.9200010317757912,0.7121807052821755,0.5803809224167555,0.13654354429557983,6,5,1.0935435055908709,3.9657678469775166,10.950662776483242,0.633385443418389,0 days 00:00:14.719825
12,0.4330130372025598,COMPLETE,0.9467024527931227,0.8224199126145434,1.522256683700635,0.04101976696933952,5,3,25.813427385972258,8.584103464806535,2.9481366948553847,0.5467794457197903,0 days 00:00:26.683374
13,0.44680591218555027,COMPLETE,0.9060857792437753,0.41103280119926444,0.0013584669378390016,0.04290766012854653,1,3,22.64495295735949,0.008907937252913063,0.06222787814113203,0.5927249719303463,0 days 00:00:33.370929
14,0.43379269351595356,COMPLETE,0.9840960969883237,0.5428470409363388,0.003014099850753793,0.1016336134934248,0,4,20.955107076601855,0.010000359566547438,0.09775002527790642,0.5575238593857044,0 days 00:00:14.365437
15,0.42382332528571476,PRUNED,0.7729059892445991,0.7550032531390549,0.00033294698566572816,0.08307092533912064,3,5,15.305582237387723,0.013512294374584604,0.022060220664419424,0.5783769185240049,0 days 00:00:12.217700
16,0.43893026023082476,COMPLETE,0.9113537250622847,0.382222547281665,0.00023624348021029353,0.023309225202690652,3,4,4.862318472197934,0.02813830637664888,0.02678201986461001,0.7407826796507958,0 days 00:00:33.243407
