feature,mean_abs_shap
FiO2_hours_since,0.25207368
iculos,0.17692131
unit_sicu,0.11411511
sirs_score,0.09246415
shock_index,0.0740181
log_iculos,0.0711439
Creatinine_locf,0.0685452
Lactate_hours_since,0.067347854
Temp_max6,0.055575296
Temp_locf,0.052483175
Resp_n_obs,0.040621977
BUN_locf,0.0351589
Temp_obs_rate,0.03423561
Resp_min6,0.028640255
HR_n_obs,0.0262892
Temp_std24,0.023845447
O2Sat_n_obs,0.023824645
modified_shock_index,0.023371596
Bilirubin_total_dev,0.022908049
hours_since_any_lab,0.02100341
Resp_mean6,0.02097395
Creatinine_dev,0.019652778
SBP_n_obs,0.019566027
Phosphate_n_obs,0.018815022
Bilirubin_total_locf,0.01679508
unit_micu,0.015985211
Creatinine_max6,0.014439158
hgb_hct_ratio,0.014342704
Magnesium_n_obs,0.013214684
Lactate_obs_rate,0.011729893
Resp_max6,0.0114588775
FiO2_obs_rate,0.011062855
DBP_obs_rate,0.01090276
SBP_slope12,0.010056997
BUN_max6,0.009967551
BUN_mean6,0.009846972
Calcium_n_obs,0.009454789
Creatinine_mean6,0.008824611
SBP_dev,0.008409282
Calcium_dev,0.008386811
FiO2_n_obs,0.00830344
Temp_slope12,0.007928301
sofa_renal,0.007876903
BUN_min6,0.007533757
Resp_mean24,0.0075054797
age_shock_index,0.0071305144
Alkalinephos_locf,0.006760051
SBP_obs_rate,0.0057406393
rate_pressure_product,0.005169585
SBP_hours_since,0.004888648
WBC_locf,0.0047478448
SBP_slope6,0.0045298436
DBP_n_obs,0.00447331
Glucose_obs_rate,0.0044575464
AST_dev,0.0043244422
MAP_n_obs,0.0041994704
hosp_adm_time,0.004057766
AST_hours_since,0.0039012383
Phosphate_dev,0.0038770912
BUN_mean24,0.0038115662
Calcium_locf,0.003720033
Lactate_min6,0.0036277897
SBP_std6,0.003413417
Calcium_obs_rate,0.0033972333
MAP_mean6,0.0033490118
Platelets_obs_rate,0.0027988593
BaseExcess_hours_since,0.0026142222
Lactate_mean6,0.0025998908
MAP_min6,0.002525323
Lactate_locf,0.0024079469
PaCO2_n_obs,0.0023607048
AST_locf,0.002315062
Magnesium_obs_rate,0.0022816295
sofa_liver,0.0022421672
sirs_temp,0.0022051346
BaseExcess_n_obs,0.002183552
Temp_dev,0.0020946334
O2Sat_min6,0.0020921386
Lactate_max6,0.0020217889
SBP_min6,0.0019806963
SaO2_locf,0.0017896502
SBP_mean6,0.0017552145
Bilirubin_total_hours_since,0.0016896738
Lactate_dev,0.0016722528
Hgb_locf,0.0016041055
HR_min6,0.0015171632
O2Sat_std6,0.0015088385
pH_n_obs,0.0014623104
O2Sat_mean6,0.0014575274
PaCO2_obs_rate,0.0013697164
Glucose_dev,0.0013606561
PTT_locf,0.0013540252
MAP_mean24,0.0013434816
Lactate_n_obs,0.0012717706
HR_locf,0.0012101744
PaCO2_dev,0.0011758903
Temp_slope6,0.0011655507
Temp_n_obs,0.0010655869
cum_labs,0.0010441229
FiO2_dev,0.0010078679
O2Sat_locf,0.0009376655
SBP_max6,0.0009314162
Platelets_locf,0.0009203892
Hct_max6,0.00089848624
Hct_locf,0.0008743049
Glucose_n_obs,0.0008492734
SBP_locf,0.0008009485
Temp_min6,0.0007675388
Platelets_min6,0.00075427134
MAP_obs_rate,0.0007066
TroponinI_hours_since,0.00069252145
pH_dev,0.0006028207
WBC_mean6,0.0005956983
Phosphate_obs_rate,0.00056272984
pulse_pressure,0.0005310538
PaCO2_hours_since,0.00047460812
Fibrinogen_obs_rate,0.00045158813
AST_obs_rate,0.00038839297
pH_max6,0.0002978316
BaseExcess_obs_rate,0.00027862805
sofa_resp,0.00027539462
WBC_dev,0.0002746814
PTT_n_obs,0.00026293413
SaO2_n_obs,0.00025317466
DBP_hours_since,0.00022737242
pH_hours_since,0.00021242758
Potassium_obs_rate,0.00019951901
lab_order_rate,0.00019916944
HCO3_locf,0.00019094785
DBP_std24,0.00014589119
PTT_dev,0.00012969061
Lactate_mean24,0.00012136894
Fibrinogen_n_obs,3.7657886e-05
sofa_coag,0.0
hypotensive,0.0
Hct_mean24,0.0
Glucose_std6,0.0
Hct_std6,0.0
age,0.0
age_over_65,0.0
Platelets_std6,0.0
Glucose_mean24,0.0
BUN_std6,0.0
pH_mean24,0.0
Creatinine_std6,0.0
sofa_partial,0.0
sofa_cardio,0.0
gender,0.0
WBC_std6,0.0
Lactate_std6,0.0
Platelets_mean24,0.0
Creatinine_mean24,0.0
EtCO2_mean24,0.0
tachycardic,0.0
lactate_high,0.0
anion_gap,0.0
lactate_shock,0.0
DBP_mean24,0.0
acidotic,0.0
SBP_mean24,0.0
Temp_mean24,0.0
WBC_mean24,0.0
bun_creatinine,0.0
O2Sat_mean24,0.0
temp_hr_coupling,0.0
HR_mean24,0.0
pH_std6,0.0
ward_before_icu,0.0
hypoxic,0.0
Hct_slope12,0.0
EtCO2_std24,0.0
HR_std24,0.0
Lactate_slope6,0.0
Creatinine_slope6,0.0
BUN_slope6,0.0
Platelets_slope6,0.0
Hct_slope6,0.0
Glucose_slope6,0.0
pH_slope6,0.0
HR_slope12,0.0
O2Sat_slope12,0.0
n_sparse_labs_this_hour,0.0
any_lab_this_hour,0.0
n_labs_this_hour,0.0
