feature,coefficient,odds_ratio_per_sd,abs_coefficient,C,l1_ratio
Resp_n_obs,0.24153581,1.273203,0.24153581,0.0003,0.95
unit_sicu,-0.22061652,0.8020242,0.22061652,0.0003,0.95
SBP_obs_rate,-0.18224743,0.8333951,0.18224743,0.0003,0.95
hours_since_any_lab,-0.1679579,0.8453894,0.1679579,0.0003,0.95
modified_shock_index,0.12730458,1.1357629,0.12730458,0.0003,0.95
sirs_temp,0.1211591,1.1288044,0.1211591,0.0003,0.95
FiO2_obs_rate,0.11470453,1.121542,0.11470453,0.0003,0.95
Lactate_obs_rate,0.11096653,1.1173575,0.11096653,0.0003,0.95
sofa_renal,0.105661586,1.1114457,0.105661586,0.0003,0.95
FiO2_n_obs,0.097296745,1.1021874,0.097296745,0.0003,0.95
O2Sat_n_obs,0.09692577,1.1017786,0.09692577,0.0003,0.95
Resp_min6,0.09494746,1.099601,0.09494746,0.0003,0.95
sirs_score,0.07816425,1.0813003,0.07816425,0.0003,0.95
Temp_locf,0.07815722,1.0812926,0.07815722,0.0003,0.95
MAP_n_obs,0.062126514,1.0640969,0.062126514,0.0003,0.95
Glucose_obs_rate,-0.060966693,0.94085455,0.060966693,0.0003,0.95
unit_micu,0.055510864,1.0570805,0.055510864,0.0003,0.95
Lactate_n_obs,0.048993412,1.0502135,0.048993412,0.0003,0.95
hosp_adm_time,-0.04747237,0.9536368,0.04747237,0.0003,0.95
Hct_obs_rate,-0.047440656,0.95366704,0.047440656,0.0003,0.95
FiO2_dev,0.040318064,1.0411419,0.040318064,0.0003,0.95
Temp_std6,0.03804725,1.0387803,0.03804725,0.0003,0.95
Resp_mean6,0.037721284,1.0384418,0.037721284,0.0003,0.95
any_lab_this_hour,0.03563176,1.0362742,0.03563176,0.0003,0.95
pH_dev,0.03553077,1.0361695,0.03553077,0.0003,0.95
AST_obs_rate,0.035295416,1.0359257,0.035295416,0.0003,0.95
Temp_obs_rate,-0.033783417,0.96678084,0.033783417,0.0003,0.95
SBP_std6,0.0305536,1.0310252,0.0305536,0.0003,0.95
HR_dev,0.022739688,1.0230002,0.022739688,0.0003,0.95
WBC_locf,0.020606931,1.0208207,0.020606931,0.0003,0.95
tachycardic,0.017701903,1.0178595,0.017701903,0.0003,0.95
Fibrinogen_dev,0.012360632,1.0124373,0.012360632,0.0003,0.95
DBP_std6,0.012292249,1.0123681,0.012292249,0.0003,0.95
SBP_min6,-0.010246197,0.9898061,0.010246197,0.0003,0.95
pH_std6,0.009280062,1.0093232,0.009280062,0.0003,0.95
Calcium_dev,-0.009145927,0.99089575,0.009145927,0.0003,0.95
TroponinI_n_obs,-0.006089492,0.993929,0.006089492,0.0003,0.95
Temp_max6,0.0059849825,1.0060029,0.0059849825,0.0003,0.95
Calcium_locf,-0.0058262562,0.9941907,0.0058262562,0.0003,0.95
Resp_std24,-0.0045518405,0.9954585,0.0045518405,0.0003,0.95
TroponinI_obs_rate,-0.0024624032,0.99754065,0.0024624032,0.0003,0.95
Calcium_n_obs,0.002012358,1.0020144,0.002012358,0.0003,0.95
qsofa_score,0.00011335893,1.0001134,0.00011335893,0.0003,0.95
Phosphate_dev,-3.8679145e-06,0.9999961,3.8679145e-06,0.0003,0.95
PaCO2_dev,5.7427958e-08,1.0,5.7427958e-08,0.0003,0.95
