feature,n_septic,n_control,mean_septic,mean_control,hedges_g,univariate_auc,welch_t,p_welch,p_mannwhitney,q_welch,q_mannwhitney,significant,abs_g
O2Sat_n_obs,1253,12981,26.403100805908608,16.70251443400243,0.9780520228159353,0.5265966718009433,13.17239505021684,3.1302535722881984e-37,0.0018432693469196374,8.582111877356811e-36,0.0028605453544177394,True,0.9780520228159353
MAP_n_obs,1253,12981,26.69874337003979,17.008644573586203,0.9754451664238011,0.5236321819236943,13.027293300766122,1.690112328680511e-36,0.005652935377210141,4.0544489707561995e-35,0.008415455833041341,True,0.9754451664238011
FiO2_n_obs,1253,12981,6.895708527329771,2.890380585064952,0.9745744882363693,0.6518832577025062,16.733737569532913,4.80945838497023e-57,6.498555206492486e-76,5.274372695517352e-55,3.5633744382267134e-74,True,0.9745744882363693
HR_n_obs,1253,12981,27.092053688152827,17.41569440568341,0.9687731695973921,0.520364467854762,12.879473412034702,9.270342690868446e-36,0.01709542589500456,2.033295163530479e-34,0.02383218270956144,True,0.9687731695973921
Resp_n_obs,1253,12981,26.721644765171924,17.022240106975485,0.9685988861456053,0.5241551391366829,13.025331571500681,1.72529743436434e-36,0.004676512387392648,4.0544489707561995e-35,0.007057672364459547,True,0.9685988861456053
Bilirubin_direct_hours_since,76,334,21.270798418082688,10.863462062652953,0.9466285400440462,0.5827095808383234,4.114617734624779,9.551952728737865e-05,0.024369631995380447,0.00018485837927969165,0.03340670386033403,True,0.9466285400440462
iculos,1253,12981,29.83000798084597,19.947153532085355,0.8987111835485402,0.5174393258044955,12.55631032903564,3.578149845514347e-34,0.04109287640464014,6.195848943022211e-33,0.054078225348506426,True,0.8987111835485402
Magnesium_n_obs,1253,12981,2.837614559639076,1.5541508436362563,0.8206458089335453,0.6036257301096888,13.958485451303014,2.400046120565957e-41,6.808663489058979e-34,7.896151736661999e-40,8.000179599644301e-33,True,0.8206458089335453
Phosphate_n_obs,1253,12981,1.888831301786285,1.0014550065807266,0.811121066791254,0.6285031170549282,15.692958941645815,5.473227701926165e-51,1.8818803836543958e-51,3.001153189889514e-49,4.762604970940741e-50,True,0.811121066791254
Calcium_n_obs,1253,12981,1.8520641101959792,0.9898833502449916,0.8109474210518248,0.6309538103851581,15.668864137948761,7.544827325967587e-51,2.0903552385027706e-53,3.5460688432047654e-49,6.2520624860673776e-52,True,0.8109474210518248
