feature,gain,cover,weight,gain_share
iculos,28843.5,139633.59375,38.0,0.05005678187723022
Magnesium_n_obs,28073.396484375,127695.828125,2.0,0.048720296925524334
SBP_n_obs,18263.802734375,114144.0859375,6.0,0.03169612528726993
Resp_n_obs,17357.638671875,185100.40625,13.0,0.030123512503746872
log_iculos,14126.3486328125,125833.90625,24.0,0.024515733258252452
shock_index,11089.8505859375,133349.25,16.0,0.019246008002889635
sofa_renal,10949.6015625,154427.234375,1.0,0.01900261123153021
FiO2_hours_since,10869.4599609375,144440.453125,46.0,0.018863528572743798
HR_n_obs,10854.32421875,145591.828125,10.0,0.018837261075899458
FiO2_obs_rate,9863.5302734375,65610.0,3.0,0.017117776394574787
BUN_min6,9423.4765625,163261.984375,1.0,0.016354080150267954
sirs_score,9258.1123046875,166882.796875,16.0,0.016067096858239927
O2Sat_n_obs,9166.40234375,113791.03125,11.0,0.01590793775790128
unit_sicu,8919.1982421875,117999.953125,26.0,0.015478924573264509
BUN_max6,8912.33203125,83527.3515625,2.0,0.015467008528983424
Alkalinephos_locf,8849.404296875,220815.28125,1.0,0.015357799872834286
Lactate_obs_rate,6714.72509765625,88212.34375,3.0,0.011653146448209901
Creatinine_locf,6696.60400390625,99502.6484375,20.0,0.011621697988861328
DBP_obs_rate,6647.92822265625,71705.390625,4.0,0.011537223047722596
Bilirubin_total_dev,6241.89892578125,120062.171875,5.0,0.010832574861842343
SBP_slope12,5968.853515625,86145.265625,4.0,0.010358715082731963
Temp_max6,5954.00390625,169146.0625,24.0,0.010332944158348777
age_shock_index,5911.23095703125,146535.6875,3.0,0.010258713354552815
Lactate_hours_since,5568.9384765625,168597.03125,27.0,0.009664677955484037
Temp_locf,5419.25830078125,137695.15625,25.0,0.00940491378295201
Creatinine_mean6,5012.6591796875,48000.64453125,3.0,0.008699276689115847
Resp_min6,4983.833984375,186370.5625,9.0,0.008649251674317838
sofa_liver,4705.81201171875,43476.03515625,1.0,0.008166755262913841
Creatinine_dev,4611.90869140625,135508.53125,10.0,0.008003789671968551
hours_since_any_lab,4511.95849609375,158920.96875,11.0,0.007830329962663357
rate_pressure_product,4492.908203125,133579.390625,7.0,0.007797268913905957
Creatinine_max6,4456.13037109375,73889.7890625,8.0,0.007733442404782387
Lactate_n_obs,3918.869384765625,76459.1484375,2.0,0.0068010466829118614
BUN_locf,3853.991455078125,106597.9765625,15.0,0.00668845353800873
FiO2_n_obs,3816.258056640625,90292.8515625,3.0,0.0066229686802393
DBP_n_obs,3693.944091796875,27257.900390625,4.0,0.006410697511389375
AST_hours_since,3558.059814453125,67514.78125,3.0,0.006174875588545714
HR_locf,3447.166015625,100546.4375,3.0,0.005982423677388021
Resp_mean6,3395.802490234375,124893.8984375,14.0,0.005893284259948248
SBP_hours_since,3352.199951171875,94322.3046875,5.0,0.0058176137349722585
Bilirubin_total_locf,3230.857177734375,156162.46875,14.0,0.005607028031353103
Calcium_obs_rate,3211.814453125,60835.58203125,2.0,0.00557398011719152
MAP_n_obs,3148.72119140625,87854.1484375,4.0,0.005464484194720998
MAP_mean6,3126.58935546875,103249.5625,1.0,0.005426075246983516
SBP_obs_rate,3075.641845703125,49013.07421875,8.0,0.005337657808616953
SBP_dev,3021.2861328125,75010.125,10.0,0.005243325565167047
unit_micu,2944.06640625,115590.046875,14.0,0.005109313707758674
Hct_n_obs,2937.802734375,28775.94921875,1.0,0.005098443346783154
Resp_max6,2912.0458984375,116934.8125,8.0,0.005053743351346711
Temp_obs_rate,2903.724609375,80782.1953125,37.0,0.005039302075095945
BUN_mean6,2847.73974609375,88660.3203125,4.0,0.004942142503972604
SBP_min6,2847.012451171875,59503.23046875,1.0,0.004940880311684404
Phosphate_locf,2836.10888671875,68910.578125,1.0,0.004921957596080735
hgb_hct_ratio,2823.747314453125,93252.390625,13.0,0.004900504564147717
Calcium_n_obs,2774.975830078125,65610.3515625,3.0,0.004815863533926415
Calcium_dev,2769.38671875,75309.484375,8.0,0.0048061638467650275
Bilirubin_total_hours_since,2737.41552734375,30892.4140625,2.0,0.004750679077074184
BUN_n_obs,2711.9619140625,23964.0703125,2.0,0.0047065053128636375
SBP_slope6,2633.599853515625,55190.23046875,3.0,0.00457051097888041
WBC_locf,2606.100830078125,88262.8125,8.0,0.0045227874842265784
HR_dev,2586.1533203125,135870.6875,1.0,0.00448816935032009
Glucose_obs_rate,2580.159912109375,84554.953125,3.0,0.004477768021524173
sirs_temp,2524.85205078125,141355.1875,2.0,0.004381783361181356
modified_shock_index,2430.7802734375,98340.3046875,22.0,0.004218525419555011
AST_dev,2359.7041015625,117023.890625,13.0,0.004095175464375668
SBP_std6,2295.45458984375,54853.2265625,5.0,0.003983672914621858
Lactate_mean6,2284.89306640625,102378.515625,1.0,0.00396534379800972
O2Sat_locf,2202.73876953125,40739.7265625,2.0,0.0038227681841296744
Temp_slope12,2200.5361328125,107876.6484375,11.0,0.00381894559305074
cum_labs,2182.441650390625,22394.955078125,7.0,0.00378754331663584
BaseExcess_hours_since,2180.10693359375,40322.37890625,2.0,0.0037834915056750937
Chloride_n_obs,2033.947509765625,42421.66015625,1.0,0.0035298374623770855
hosp_adm_time,2009.4354248046875,103848.5078125,24.0,0.0034872976842556446
PaCO2_n_obs,2008.3641357421875,13719.0712890625,3.0,0.0034854385034028
Temp_mean6,1995.331787109375,104576.203125,4.0,0.003462821364953558
SBP_locf,1983.57421875,76956.859375,8.0,0.0034424165585059405
Resp_locf,1970.368408203125,98449.1796875,2.0,0.003419498383594541
WBC_mean6,1970.16845703125,49725.203125,3.0,0.0034191513760470295
WBC_min6,1966.9703369140625,69798.1953125,8.0,0.0034136011619217243
SBP_mean6,1946.734619140625,51217.1328125,7.0,0.003378482854132651
Platelets_min6,1898.5836181640625,25873.04296875,2.0,0.003294918648919896
MAP_min6,1876.29736328125,120724.1953125,9.0,0.0032562417130581143
Platelets_locf,1864.9930419921875,23195.77734375,2.0,0.0032366234994211864
Alkalinephos_hours_since,1801.2764892578125,157045.578125,1.0,0.0031260458794307674
WBC_max6,1783.9158935546875,105667.9453125,7.0,0.0030959172351133265
Hct_hours_since,1743.5140380859375,125413.9375,3.0,0.003025801373077353
Hct_dev,1716.450927734375,59331.90234375,1.0,0.002978834388772828
Temp_std6,1628.15771484375,191071.421875,2.0,0.0028256049228998974
O2Sat_dev,1625.2943115234375,71782.5390625,2.0,0.0028206355968669466
pH_n_obs,1625.1412353515625,17636.396484375,3.0,0.002820369939074163
Hct_locf,1604.2259521484375,54856.9453125,9.0,0.0027840722716898536
Calcium_hours_since,1581.5108642578125,71526.4921875,1.0,0.0027446511126813034
Calcium_locf,1581.4810791015625,85164.109375,9.0,0.00274459942169132
SBP_mean24,1569.644775390625,51421.41796875,5.0,0.0027240579730775575
MAP_mean24,1560.087158203125,27585.888671875,7.0,0.002707471097045843
HR_min6,1550.5950927734375,9149.98046875,3.0,0.002690997983561756
AST_locf,1549.0640869140625,30140.259765625,5.0,0.002688340981937283
O2Sat_std6,1542.5196533203125,121343.3203125,9.0,0.0026769833698266736
Phosphate_n_obs,1541.963134765625,41999.76953125,7.0,0.002676017553337599
O2Sat_min6,1531.4830322265625,77411.1640625,12.0,0.002657829739554637
O2Sat_mean24,1523.2315673828125,1986.0689697265625,3.0,0.0026435096405426853
Glucose_locf,1510.1729736328125,151501.578125,1.0,0.0026208469547047285
SaO2_locf,1489.088134765625,39960.2890625,2.0,0.0025842550300044895
Potassium_locf,1480.294921875,85327.2265625,1.0,0.002568994748150135
FiO2_dev,1471.19287109375,26825.498046875,1.0,0.002553198490047183
HR_slope12,1461.750244140625,56682.66796875,4.0,0.0025368111751325356
TroponinI_obs_rate,1461.116943359375,143806.34375,1.0,0.00253571210605043
PTT_n_obs,1447.8814697265625,22541.10546875,2.0,0.0025127424519973667
pH_max6,1402.42529296875,5258.583984375,1.0,0.00243385501028819
MAP_locf,1399.82080078125,26984.607421875,1.0,0.002429335014541119
gender,1391.53369140625,21909.037109375,1.0,0.002414953055819843
PaCO2_hours_since,1388.4049072265625,26830.931640625,3.0,0.002409523171540073
Platelets_hours_since,1373.8602294921875,23336.169921875,1.0,0.0023842814442592572
TroponinI_hours_since,1368.1507568359375,100095.8828125,12.0,0.002374372874654739
Phosphate_obs_rate,1367.60107421875,14165.1494140625,2.0,0.0023734189216715624
PTT_locf,1356.708984375,89576.7578125,13.0,0.002354516119809937
Glucose_dev,1356.0328369140625,33943.5078125,2.0,0.0023533426919676503
FiO2_locf,1344.955810546875,85912.7734375,4.0,0.0023341189399018253
HCO3_locf,1343.229248046875,47211.82421875,5.0,0.0023311225572693463
Lactate_min6,1335.765869140625,40456.74609375,5.0,0.002318170151008758
pH_mean6,1327.6708984375,35752.36328125,2.0,0.0023041216415425384
Hct_min6,1319.28125,23411.078125,2.0,0.002289561730232795
ward_before_icu,1316.4228515625,27067.826171875,1.0,0.0022846010899809483
Temp_n_obs,1311.271240234375,44794.453125,3.0,0.0022756606671970204
SBP_max6,1306.1177978515625,18523.734375,2.0,0.0022667170666882982
BaseExcess_n_obs,1296.833984375,8311.765625,4.0,0.0022506053664374556
Glucose_max6,1291.001220703125,65238.74609375,1.0,0.0022404828300301377
Glucose_min6,1263.494873046875,4507.17333984375,1.0,0.0021927466244771304
Platelets_obs_rate,1258.4244384765625,29296.12890625,9.0,0.002183947080825739
Glucose_std24,1243.257080078125,14669.64453125,1.0,0.002157624715266623
age,1241.5628662109375,36113.59765625,7.0,0.0021546844724388394
Glucose_n_obs,1230.26220703125,1826.7196044921875,1.0,0.0021350726142514995
HR_mean24,1226.11474609375,37123.4296875,1.0,0.002127874855744634
Magnesium_dev,1218.245849609375,28996.126953125,2.0,0.0021142186893663216
Hgb_hours_since,1216.89599609375,50745.3359375,1.0,0.0021118760706481405
DBP_locf,1208.2926025390625,13992.9208984375,2.0,0.0020969452129307705
BaseExcess_locf,1173.7508544921875,23153.509765625,1.0,0.0020369993413257063
Temp_dev,1170.988525390625,45762.5859375,7.0,0.002032205425701388
Chloride_locf,1166.9337158203125,29440.40625,1.0,0.0020251684600691017
Glucose_hours_since,1166.334716796875,27942.087890625,1.0,0.002024128920364805
pH_dev,1152.8348388671875,10739.130859375,2.0,0.0020007004028514794
TroponinI_dev,1146.754150390625,25918.388671875,2.0,0.001990147602507046
Magnesium_obs_rate,1125.1494140625,41335.65625,1.0,0.001952653415813613
O2Sat_mean6,1121.8963623046875,27451.328125,4.0,0.0019470078699444862
WBC_dev,1118.33154296875,60285.375,2.0,0.0019408212634670907
TroponinI_n_obs,1112.3536376953125,43365.94921875,1.0,0.0019304468394077635
Lactate_locf,1108.6708984375,30187.60546875,8.0,0.0019240555874536307
Phosphate_dev,1100.2169189453125,16956.77734375,7.0,0.001909384032079456
Hgb_locf,1088.43212890625,34308.4296875,2.0,0.0018889319834565666
BUN_mean24,1080.527587890625,1699.666748046875,2.0,0.0018752139573689295
HR_obs_rate,1079.60693359375,2052.231201171875,2.0,0.0018736161973424762
PaCO2_obs_rate,1078.1793212890625,20527.857421875,5.0,0.0018711386312447076
Temp_min6,1074.980224609375,72556.8359375,4.0,0.0018655867223328457
Creatinine_min6,1044.53271484375,55924.72265625,3.0,0.0018127462433672995
Lactate_max6,1043.5452880859375,28215.876953125,4.0,0.0018110326023100228
